Time (s) Run #1;Sound Wave (%) Run #1
0.322;-3.4459
0.3225;1.69945
0.323;3.45625
0.3235;-0.79545
0.324;-4.64455
0.3245;-2.10695
0.325;2.8127
0.3255;2.75475
0.326;-3.6777
0.3265;-3.82105
0.327;1.08945
0.3275;3.63315
0.328;-0.02075
0.3285;-4.4036
0.329;-2.66205
0.3295;2.404
0.33;2.01665
0.3305;-3.086
0.331;-4.06505
0.3315;0.5191
0.332;3.80395
0.3325;0.71735
0.333;-4.5256
0.3335;-1.68605
0.334;3.06585
0.3345;2.4955
0.335;-2.6285
0.3355;-4.44935
0.336;-0.2678
0.3365;3.60265
0.337;1.26635
0.3375;-4.40665
0.338;-2.3296
0.3385;2.72425
0.339;2.9896
0.3395;-1.95445
0.34;-4.5805
0.3405;-0.96625
0.341;3.3678
0.3415;0.18665
0.342;-4.2511
0.3425;-2.8908
0.343;2.18745
0.3435;3.3495
0.344;-2.8237
0.3445;-4.51035
0.345;-1.57625
0.3455;3.64535
0.346;0.8912
0.3465;-3.94
0.347;-1.99715
0.3475;1.49205
0.348;3.4593
0.3485;-0.6033
0.349;-4.54085
0.3495;-0.65515
0.35;3.40745
0.3505;1.41885
0.351;-3.6594
0.3515;-4.02235
0.352;2.35825
0.3525;3.5081
0.353;0.04635
0.3535;-4.74825
0.354;-1.3963
0.3545;3.2275
0.355;2.0258
0.3555;-3.0311
0.356;-4.2877
0.3565;1.8672
0.357;3.34035
0.3575;-1.0791
0.358;-4.6232
0.3585;-2.0124
0.359;2.88285
0.3595;2.50465
0.36;-2.49735
0.3605;-4.55305
0.361;-0.5606
0.3615;3.46845
0.362;-0.36235
0.3625;-4.489
0.363;-2.55835
0.3635;2.47415
0.364;3.0384
0.3645;-1.7318
0.365;-4.4951
0.3655;-1.08825
0.366;3.75515
0.3665;0.40015
0.367;-4.09555
0.3675;-3.086
0.368;1.96175
0.3685;3.319
0.369;-1.0669
0.3695;-4.55
0.37;-0.05125
0.3705;3.5935
0.371;1.04065
0.3715;-3.80885
0.372;-3.5557
0.3725;1.4158
0.373;3.57825
0.3735;-0.3593
0.374;-4.43715
0.3745;-0.66125
0.375;3.4959
0.3755;1.7208
0.376;-3.34525
0.3765;-3.90035
0.377;0.81495
0.3775;3.68195
0.378;-1.42375
0.3785;-4.44325
0.379;-1.3292
0.3795;3.25495
0.38;2.27285
0.3805;-3.9888
0.381;-3.27205
0.3815;-0.0238
0.382;3.29765
0.3825;-0.9693
0.383;-4.69945
0.3835;-2.3357
0.384;2.48025
0.3845;2.32775
0.385;-3.9522
0.3855;-3.9949
0.386;0.8851
0.3865;3.3556
0.387;-0.28915
0.3875;-4.50425
0.388;-2.8054
0.3885;2.1844
0.389;2.96215
0.3895;-1.66165
0.39;-4.14435
0.3905;0.4032
0.391;3.6362
0.3915;0.5679
0.392;-4.0559
0.3925;-3.269
0.393;1.7513
0.3935;2.3918
0.394;-2.61935
0.3945;-4.38225
0.395;-0.2861
0.3955;3.4593
0.396;1.1718
0.3965;-3.67465
0.397;-3.6655
0.3975;2.648
0.398;2.831
0.3985;-1.9758
0.399;-4.50425
0.3995;0.8058
0.4;3.23055
0.4005;1.6903
0.401;-3.3117
0.4015;-2.9701
0.402;2.02275
0.4025;3.0628
0.403;-1.4451
0.4035;-4.61405
0.404;-1.67385
0.4045;2.953
0.405;2.282
0.4055;-3.9095
0.406;-3.3727
0.4065;1.58965
0.407;3.502
0.4075;-0.53315
0.408;-4.3182
0.4085;-2.0734
0.409;3.6423
0.4095;1.65675
0.41;-3.22325
0.4105;-3.58925
0.411;1.123
0.4115;3.70025
0.412;0.16225
0.4125;-4.10775
0.413;-2.69865
0.4135;3.3129
0.414;2.06545
0.4145;-2.9274
0.415;-4.2145
0.4155;0.19885
0.416;3.46845
0.4165;0.6045
0.417;-4.03455
0.4175;-3.43065
0.418;2.75475
0.4185;2.4101
0.419;-2.5065
0.4195;-4.47375
0.42;1.16875
0.4205;3.29155
0.421;1.1413
0.4215;-3.6655
0.422;-2.68645
0.4225;2.2576
0.423;1.51645
0.4235;-1.8904
0.424;-4.5134
0.4245;-1.1645
0.425;3.2153
0.4255;1.91295
0.426;-4.123
0.4265;-3.05245
0.427;1.9587
0.4275;3.20005
0.428;-2.74745
0.4285;-4.4341
0.429;-1.7196
0.4295;2.89505
0.43;0.9583
0.4305;-3.7692
0.431;-3.5496
0.4315;1.2877
0.432;3.34035
0.4325;-0.49655
0.433;-4.44325
0.4335;-2.4272
0.434;3.3495
